Location,MAC Address,Avg signal strength,"standard deviation, if applicable",sample size
233,0c:27:24:8e:6b:40,-80,0,7
233,0c:27:24:8e:6b:41,-81,1.7320508,8
233,0c:27:24:8e:6b:42,-76.44444,1.2570789,9
233,0c:27:24:8e:6b:43,-79.333336,1.9206481,15
233,0c:27:24:8e:6b:44,-75,1.0954452,10
233,0c:27:24:8e:6b:4b,-90.1,0.70000005,10
233,0c:27:24:8e:6b:4c,-89,0,7
233,0c:27:24:8e:6b:4d,-90.4375,2.2629833,16
233,0c:27:24:8e:6b:4e,-89,0,1
233,0c:27:24:8e:6b:4f,-90,0,4
233,0c:27:24:8e:6f:c1,-87,0,7
233,0c:27:24:8e:6f:cb,-87,0,4
233,0c:27:24:8e:6f:ce,-84,0,1
233,0c:27:24:8e:6f:cf,-89,0,4
233,0c:27:24:aa:94:20,-89,0,7
233,0c:27:24:aa:94:21,-84.42857,1.4982985,7
233,0c:27:24:aa:94:22,-87.25,0.96824586,8
233,0c:27:24:aa:94:23,-86.72727,1.863082,11
233,24:a2:e1:ea:c7:f4,-83,0,3
233,30:b5:c2:b2:5c:dd,-78.57895,1.4259176,19
233,30:b5:c2:b2:5c:de,-58.157894,1.0393906,19
233,58:97:bd:31:04:60,-75,1.4142135,9
233,58:97:bd:31:04:61,-73.90909,1.6762807,11
233,58:97:bd:31:04:62,-71,0,2
233,58:97:bd:31:04:63,-79,0,1
233,58:97:bd:31:04:64,-76.82353,1.8545744,17
233,58:97:bd:31:04:6b,-84.26316,1.5842016,19
233,58:97:bd:31:04:6c,-84.789474,0.9502879,19
233,58:97:bd:31:04:6d,-83,1.337712,19
233,58:97:bd:31:04:6e,-83.10526,1.5181267,19
233,58:97:bd:31:04:6f,-83.36842,1.2230475,19
233,58:97:bd:38:00:03,-88,0,6
233,58:97:bd:38:00:04,-88,1,8
233,58:97:bd:38:0a:d0,-76.588234,1.3745085,17
233,58:97:bd:38:0a:d1,-75.09091,0.2874798,11
233,58:97:bd:38:0a:d2,-76.28571,1.3324828,14
233,58:97:bd:38:0a:d3,-74.07143,0.96097326,14
233,58:97:bd:38:0a:d4,-75.68421,1.5911809,19
233,58:97:bd:38:0a:db,-80.5,0.8333333,18
233,58:97:bd:38:0a:dc,-81.84615,1.4595127,13
233,58:97:bd:38:0a:dd,-79.76471,0.80654764,17
233,58:97:bd:38:0a:de,-80.69231,2.0147388,13
233,58:97:bd:38:0a:df,-81.52941,2.4282076,17
233,58:97:bd:3d:f4:30,-79,0,6
233,58:97:bd:3d:f4:31,-73,0,6
233,58:97:bd:3d:f4:33,-78,0,8
233,58:97:bd:3d:f4:34,-82.5,2.4596748,10
233,58:97:bd:3d:f4:3b,-80,0,5
233,58:97:bd:3d:f4:3c,-75.72222,1.6933056,18
233,58:97:bd:3d:f4:3d,-76.47369,1.4642557,19
233,58:97:bd:3d:f4:3e,-75.789474,1.3984557,19
233,58:97:bd:3d:f4:3f,-75.47369,0.99305063,19
233,5c:83:8f:27:22:60,-57.409092,1.8987821,22
233,5c:83:8f:27:22:61,-57.3,2.1779194,30
233,5c:83:8f:27:22:62,-55.82353,4.655614,34
233,5c:83:8f:27:22:63,-55.882355,2.968112,17
233,5c:83:8f:27:22:64,-54.055557,3.5035253,18
233,5c:83:8f:27:22:65,-57.42105,3.5735245,19
233,5c:83:8f:27:22:66,-56.375,0.9270248,16
233,5c:83:8f:27:22:67,-56.92857,1.7098156,14
233,5c:83:8f:27:22:68,-53.894737,5.646562,19
233,5c:83:8f:27:22:69,-55.82353,3.3119268,17
233,5c:83:8f:27:22:6a,-57.11111,1.9688936,18
233,5c:83:8f:27:22:6b,-57.5,3.9895697,12
233,5c:83:8f:27:22:6c,-58.166668,1.8027757,18
233,5c:83:8f:27:22:6d,-55.068966,3.5615864,29
233,5c:83:8f:27:22:6e,-56.555557,3.3536422,36
233,5c:83:8f:27:22:6f,-55.205883,2.6654587,34
233,5c:83:8f:41:cf:20,-83.61539,1.3323467,13
233,5c:83:8f:41:cf:21,-80,0,1
233,5c:83:8f:41:cf:22,-83.75,2.7118566,12
233,5c:83:8f:41:cf:23,-84.85714,5.040652,14
233,5c:83:8f:41:cf:24,-86.09091,2.2342193,11
233,5c:83:8f:41:cf:25,-86.15385,2.9311626,13
233,5c:83:8f:41:cf:26,-85,3.4641016,7
233,5c:83:8f:41:cf:27,-85.47059,2.3544114,17
233,5c:83:8f:41:cf:28,-86,0,7
233,5c:83:8f:41:cf:29,-83.92308,1.2064914,13
233,5c:83:8f:41:cf:2a,-84.5,1.2041595,10
233,5c:83:8f:41:cf:2b,-84,4.2640142,11
233,5c:83:8f:41:cf:2c,-77,0,4
233,5c:83:8f:41:cf:2d,-85.8,1.28841,20
233,5c:83:8f:41:cf:2e,-85.94444,3.0996814,18
233,5c:83:8f:41:cf:2f,-84.666664,1.699673,9
233,5c:83:8f:41:cf:60,-72.03333,3.4783454,30
233,5c:83:8f:41:cf:61,-70.48485,2.9245172,33
233,5c:83:8f:41:cf:62,-70.625,3.2858598,32
233,5c:83:8f:41:cf:63,-71.31579,6.6415963,19
233,5c:83:8f:41:cf:64,-72.875,4.106017,16
233,5c:83:8f:41:cf:65,-76.26316,2.5098143,19
233,5c:83:8f:41:cf:66,-72.89474,3.4319665,19
233,5c:83:8f:41:cf:67,-75.888885,1.4865654,18
233,5c:83:8f:41:cf:68,-67,3.0983868,15
233,5c:83:8f:41:cf:69,-75,5.4579735,19
233,5c:83:8f:41:cf:6a,-72.31579,4.920982,19
233,5c:83:8f:41:cf:6b,-75.47369,2.872161,19
233,5c:83:8f:41:cf:6c,-72.42105,3.4840355,19
233,5c:83:8f:41:cf:6d,-69.361115,2.7300057,36
233,5c:83:8f:41:cf:6e,-70.48387,3.4065492,31
233,5c:83:8f:41:cf:6f,-70.23529,2.4017003,34
233,5c:a4:8a:e0:ac:81,-82,0,3
233,5c:a4:8a:e0:ac:82,-83,0,1
233,64:a0:e7:db:fe:50,-57.692307,2.9190252,13
233,64:a0:e7:db:fe:51,-52.846153,2.4759197,13
233,64:a0:e7:db:fe:53,-54.0625,3.0916975,16
233,64:a0:e7:db:fe:54,-60.444443,2.9481106,9
233,64:a0:e7:db:fe:5b,-63,2.867442,18
233,64:a0:e7:db:fe:5c,-65.4375,1.7309228,16
233,64:a0:e7:db:fe:5d,-63.94737,2.8372278,19
233,64:a0:e7:db:fe:5e,-63.842106,2.7388656,19
233,64:a0:e7:db:fe:5f,-64.36842,3.098566,19
233,64:a0:e7:f8:de:30,-66.53846,5.242069,13
233,64:a0:e7:f8:de:31,-66.35294,2.299391,17
233,64:a0:e7:f8:de:32,-71.3,5.8489313,10
233,64:a0:e7:f8:de:33,-69.09091,0.99585915,11
233,64:a0:e7:f8:de:34,-68.92308,6.719221,13
233,64:a0:e7:f8:de:3b,-68.05556,2.9149466,18
233,64:a0:e7:f8:de:3c,-69.5,2.738613,16
233,64:a0:e7:f8:de:3d,-68.31579,2.9388974,19
233,64:a0:e7:f8:de:3e,-68.111115,2.8458328,18
233,64:a0:e7:f8:de:3f,-68,2.8654015,19
233,64:a0:e7:fe:3b:e0,-84,0,8
233,64:a0:e7:fe:3b:e1,-76.8,0.979796,10
233,64:a0:e7:fe:3b:e3,-76,0,6
233,64:a0:e7:fe:3b:e4,-76,0,2
233,64:a0:e7:fe:3b:eb,-84.44444,0.83147943,9
233,64:a0:e7:fe:3b:ec,-87.166664,2.5440564,12
233,64:a0:e7:fe:3b:ed,-84.46154,0.4985185,13
233,64:a0:e7:fe:3b:ee,-85.8,3.4292858,10
233,64:a0:e7:fe:3b:ef,-84.3125,1.2103072,16
233,64:a0:e7:fe:40:e0,-71.47059,1.4599618,17
233,64:a0:e7:fe:40:e1,-68,3,12
233,64:a0:e7:fe:40:e2,-67.92308,0.997037,13
233,64:a0:e7:fe:40:e3,-70.588234,2.4984422,17
233,64:a0:e7:fe:40:e4,-72,0,8
233,64:a0:e7:fe:40:eb,-83.0625,1.8529959,16
233,64:a0:e7:fe:40:ec,-83.083336,2.430992,12
233,64:a0:e7:fe:40:ed,-79.625,1.5360258,16
233,64:a0:e7:fe:40:ee,-79.947365,1.0989797,19
233,64:a0:e7:fe:40:ef,-80.1579,1.4604671,19
233,64:a0:e7:fe:47:04,-84,2,8
233,64:a0:e7:ff:46:f0,-81,0,8
233,64:a0:e7:ff:46:f1,-76,0,7
233,64:a0:e7:ff:46:f2,-81,0,2
233,64:a0:e7:ff:46:f3,-78,0,6
233,64:a0:e7:ff:46:f4,-79.5,5.5,8
233,64:a0:e7:ff:46:fb,-69.052635,3.9266126,19
233,64:a0:e7:ff:46:fc,-67.1875,4.0499806,16
233,64:a0:e7:ff:46:fd,-68.36842,3.5866795,19
233,64:a0:e7:ff:46:fe,-68.52631,3.7468364,19
233,64:a0:e7:ff:46:ff,-67.947365,3.1030326,19
233,ec:e1:a9:6f:a2:a0,-77,0,1
233,ec:e1:a9:6f:a2:a2,-85,0,4
233,ec:e1:a9:6f:a2:a3,-84.125,2.0879116,8
233,ec:e1:a9:6f:a2:a5,-85.75,0.8291562,8
233,ec:e1:a9:6f:a2:a6,-85,0,4
233,ec:e1:a9:6f:a2:a7,-86,0,1
233,ec:e1:a9:6f:a2:a8,-84.7,1.1874342,10
233,ec:e1:a9:6f:a2:a9,-86,0,8
233,ec:e1:a9:6f:a2:ae,-84.125,0.3307189,8
233,ec:e1:a9:6f:a2:af,-82.3,0.45825756,10
233,ec:e1:a9:6f:b6:c3,-82,0,4
233,f4:1f:c2:5a:41:b0,-65.22222,5.826716,27
233,f4:1f:c2:5a:41:b1,-67.96429,6.3666663,28
233,f4:1f:c2:5a:41:b2,-68.51515,4.942832,33
233,f4:1f:c2:5a:41:b3,-67.947365,8.236464,19
233,f4:1f:c2:5a:41:b4,-72.36842,7.407042,19
233,f4:1f:c2:5a:41:b5,-70.666664,6.3770423,18
233,f4:1f:c2:5a:41:b6,-64.47369,4.870625,19
233,f4:1f:c2:5a:41:b7,-60.466667,1.5860503,15
233,f4:1f:c2:5a:41:b8,-61.5,8.183171,14
233,f4:1f:c2:5a:41:b9,-69.052635,9.5116205,19
233,f4:1f:c2:5a:41:ba,-68,6.257627,19
233,f4:1f:c2:5a:41:bb,-68.6,7.0974174,15
233,f4:1f:c2:5a:41:bc,-70.73684,6.6161056,19
233,f4:1f:c2:5a:41:bd,-66.40625,4.144721,32
233,f4:1f:c2:5a:41:be,-64.78378,3.2142856,37
233,f4:1f:c2:5a:41:bf,-66.02778,3.6627717,36
233,f4:1f:c2:71:c4:b0,-77.28571,1.7083229,28
233,f4:1f:c2:71:c4:b1,-79.5,2.845374,26
233,f4:1f:c2:71:c4:b2,-78.1,1.955335,30
233,f4:1f:c2:71:c4:b3,-79.210526,2.83918,19
233,f4:1f:c2:71:c4:b4,-79.6875,2.6390991,16
233,f4:1f:c2:71:c4:b5,-80.31579,2.9028592,19
233,f4:1f:c2:71:c4:b6,-79.833336,2.650996,18
233,f4:1f:c2:71:c4:b7,-80.52631,2.8904276,19
233,f4:1f:c2:71:c4:b8,-78.29412,4.967716,17
233,f4:1f:c2:71:c4:b9,-77.27778,2.6833968,18
233,f4:1f:c2:71:c4:ba,-78,3.3403435,19
233,f4:1f:c2:71:c4:bb,-83.6,2.2449946,15
233,f4:1f:c2:71:c4:bc,-78.52631,2.1366088,19
233,f4:1f:c2:71:c4:bd,-79.25714,1.9025228,35
